time,ekin_fluid_1,ekin_fluid_2
0.0,0.0,0.0
0.00015533636236548756,1.2218182491104047e-7,0.0
0.0005544933543452183,8.555598874814243e-7,0.0
0.0015508440911269085,5.345109662509138e-6,0.0
0.003994715998929421,3.213772719582437e-5,0.0
0.00966349631483291,0.00017212374482606925,0.0
0.021153801991893054,0.0006919137305327141,0.0
0.03874710670147362,0.0015142104645566503,0.0
0.05892791155604757,0.001764393035061978,0.0
0.08017878984758485,0.0016921811943568913,0.0
0.10275203189263626,0.0016337681418300259,0.0
0.1257221813111946,0.0014419849805158353,0.0
0.15073949962287864,0.0014507981124235096,0.0
0.17799102628650157,0.0014353666642837866,0.0
0.20498757330506218,0.001182063057420725,0.0
0.2313720733461448,0.0009738618999794652,0.0
0.2591354683843592,0.0009349832565522831,0.0
0.2858491065532377,0.0007585025843387592,0.0
0.3132085945859545,0.0007079358611708566,0.0
0.34079816611670977,0.0006425537068451197,0.0
0.36858136226723237,0.0005889724150694119,0.0
0.3961632996867992,0.0005299704603253943,0.0
0.42316318362041677,0.00046965299402118306,0.0
0.44967328579388705,0.00042308760431626993,0.0
0.4771379396446863,0.00042416917275775934,0.0
0.5047593644483319,0.0004008186202303808,0.0
0.5322963351053025,0.00037731935770221814,0.0
0.5606167400677553,0.0003783397977272445,0.0
0.5886241247075334,0.00035266248860515737,0.0
0.6162228625717953,0.0003297576020322953,0.0
0.6433516840343527,0.00030940591289088366,0.0
0.6694732076210487,0.00028063616544045123,0.0
0.6961674096504314,0.0002860423053812872,0.0
0.723156603228253,0.00028431999398948653,0.0
0.7499117679657255,0.0002733051707271405,0.0
0.7764762961980184,0.0002647755575603433,0.0
0.8029236650723073,0.00025822866254290346,0.0
0.8299556510702593,0.0002650924551889279,0.0
0.8577405142781415,0.00027439986235106495,0.0
0.8855630354800086,0.00027063827181258407,0.0
0.9130330050069717,0.00026200990193454696,0.0
0.9404487173296001,0.00026028240622097746,0.0
0.9674983883103035,0.00025294619315335473,0.0
0.9945535979416772,0.0002525477921898097,0.0
1.0218830194515929,0.0002563897120720395,0.0
1.0494964158919275,0.0002600691909891227,0.0
1.077357432790049,0.0002631426955722994,0.0
1.105252573828091,0.00026299464975132334,0.0
1.133291672280933,0.0002650419902153935,0.0
1.161343998413284,0.00026460363477333993,0.0
1.1893346339911774,0.00026298440953737034,0.0
1.2173202343751852,0.0002623923317224755,0.0
1.2451263074935666,0.00025862767147952307,0.0
1.2725661715632777,0.0002520187888653462,0.0
1.2998180416325915,0.0002490483123885642,0.0
1.3270659297008862,0.00024884943863761754,0.0
1.3542712002764827,0.0002479951440249135,0.0
1.381481179909612,0.00024876320955490835,0.0
1.4086271172973177,0.0002486756377163854,0.0
1.435620710263428,0.00024742751168115224,0.0
1.462381039822206,0.0002449466036826685,0.0
1.4888832269866057,0.00024194139987415502,0.0
1.5153036757974214,0.00024179793459855198,0.0
1.541584370191428,0.0002402669486699011,0.0
1.5679346037909239,0.00024275887449380656,0.0
1.5943480604620388,0.00024489057149739633,0.0
1.6206998392170608,0.0002448583570655076,0.0
1.646934310010436,0.00024387953049180913,0.0
1.67303811754912,0.00024258685014965332,0.0
1.6991380927933712,0.00024335601357166532,0.0
1.7250657721980212,0.0002409077557237123,0.0
1.7508301568117317,0.00023871310419170988,0.0
1.7766120136680508,0.00023950881816783677,0.0
1.8022474848449446,0.00023713172971713198,0.0
1.8277554109035261,0.00023519518353945924,0.0
1.8532947020416561,0.0002358755992025073,0.0
1.8788976256221033,0.00023682095080358913,0.0
1.9045616141710968,0.00023760318847279916,0.0
1.9302574312981988,0.0002378156321959439,0.0
1.9559472895064964,0.00023734704526254515,0.0
1.9816201690843003,0.0002368719572315892,0.0
2.0072681725129966,0.00023636096218781209,0.0
2.032907912576785,0.00023638049682085717,0.0
2.058570182384787,0.00023687718584785704,0.0
2.084238007944662,0.00023695398961924281,0.0
2.109907299089971,0.00023690248005887694,0.0
2.1355830708821455,0.0002368681483043184,0.0
2.161249745694088,0.0002365250756536086,0.0
2.186886477579141,0.00023583115868086647,0.0
2.2124956743472834,0.00023544102197401072,0.0
2.2380731960825218,0.00023504424387268226,0.0
2.263636212452404,0.00023486826703753957,0.0
2.2892240213665214,0.00023527378511494637,0.0
2.3148373999896483,0.0002355806248145955,0.0
2.3404681384823944,0.0002356920241247721,0.0
