time,l_2_fluid_1,l_inf_fluid_1,l_2_fluid_2,l_inf_fluid_2
0.0,0.05874791471535163,0.15199165316056984,0.09360312098543787,0.29995103936842116
0.01345865682416931,0.059971392665049826,0.1546997212757515,0.09344118365426538,0.297316564177727
0.01795720139446091,0.05959162970671265,0.15327800692998395,0.09368414529896806,0.2960767233228718
0.022016119598735083,0.059472321074914854,0.152849041214411,0.09374606911729311,0.2956697979581594
0.03182754267741678,0.059183446443482376,0.15186326365602354,0.09389962951556083,0.2948731558166082
0.05337324097077728,0.057700470297854335,0.14667374577969672,0.09480024699158761,0.29082629530580173
0.08762093099811179,0.053102268142936046,0.12974828869991573,0.09779165166735203,0.27847482495162257
0.1280555213523148,0.04715625437434974,0.11492024140427826,0.10129307704663232,0.2968826542257543
0.17353542443212985,0.04260276348228194,0.10595310340200492,0.1024514754233381,0.3283634233484741
0.22497954185978158,0.038633609880140224,0.09025874296070946,0.0994581571922788,0.3328142781899711
0.28003541095182133,0.03506098233004856,0.07243125378641957,0.09501505295294119,0.2906903065315096
0.33607340628958843,0.03191442697188794,0.06808781731839231,0.09130733541884592,0.24598839420106544
0.3916568416334116,0.029165386850741166,0.06252588612617949,0.0889550345965462,0.21726455274271927
0.4463710175062392,0.02660777372671794,0.05675668092715891,0.087808545272326,0.20367793928621847
0.5002076267955293,0.024129436068926393,0.05382909074468123,0.08708143820455781,0.19840069374176805
0.5535639994878822,0.021794852046681103,0.04953805907253295,0.08640486334319007,0.19380732453492988
0.6067911866898529,0.01974693749769553,0.045041655757860344,0.08600404182781957,0.18956734505365835
0.6600656831874059,0.018013282317908046,0.042092881530488846,0.08576806569340202,0.18583416351857351
0.7134328364233119,0.016493102245674126,0.039708401234670676,0.08560827965767555,0.18249703760348912
0.766938893606702,0.01524677359410607,0.038737922216640186,0.08537466226595838,0.17939631285805302
0.8205916328536934,0.01428146266881251,0.03756696956436745,0.08520693758623854,0.17648405633250752
0.8743998112388747,0.01356511974515707,0.036422801004107885,0.08520334842410648,0.17376735334227966
0.928354323998671,0.013015372008404488,0.03582039769461831,0.08516486202473533,0.17119776745053328
0.9824814302854534,0.012563463988391825,0.03520376291204719,0.08507902965405403,0.16862018814544788
1.0367918161213454,0.012183678712103529,0.03454129104887316,0.08502328243571612,0.16595576169561654
1.0912243099627432,0.011868996042456071,0.03385105945057609,0.08494205939666213,0.16325611859389721
1.1457456216600133,0.011679880307417791,0.033160174074035265,0.08484315274666916,0.16065246925138388
1.2003697751109035,0.01156254913799106,0.03246424932194225,0.08482187467476715,0.15819110411225146
1.2550983985954656,0.011481081441388088,0.03178827844833032,0.08486608260083169,0.1558735562908542
1.3099451064933962,0.011422238928380056,0.03112287482618692,0.08492263105311158,0.154706769504518
1.3649141385902623,0.011382791592195076,0.030461816359773186,0.08489980356726422,0.15359145054955403
1.419996569509831,0.011360271605790524,0.029868902286529053,0.0848082559625579,0.15252376635752274
1.4751709201020426,0.011359528410106255,0.02946358997344989,0.08473915455401433,0.1515399114337449
1.5304228959395842,0.011367507149843721,0.029327323808523875,0.08468774714974084,0.15065825104031605
1.5857500611412385,0.011381404715306562,0.029032088222257224,0.08464477394004437,0.14987285624171354
1.6411669898244692,0.011399518826826001,0.028714442490240577,0.08461005771348587,0.14915775625004202
1.6966809656997681,0.0114178996262109,0.02837141816150801,0.08460069561856663,0.1484802372894909
1.7522890161549347,0.011436902044527037,0.02800375977091507,0.08458661821906607,0.14781940479586875
1.8079882490320798,0.011461446734385951,0.02762305388190356,0.08453449683671854,0.1471746999367749
1.8637724073253996,0.011503126464316922,0.027433235283749635,0.08448810682612025,0.14655161782156756
1.9196242871411928,0.011562381768226054,0.02723188386957265,0.08445258196442021,0.14595267316647031
1.9755390643340969,0.011621876175652681,0.027002819306452652,0.08442544951160544,0.14538244839059278
2.031524396193543,0.011674958742350316,0.02674864803898136,0.08439698245308384,0.14483908183423255
2.087585150053868,0.011718777567229503,0.02649240977744549,0.08436659525590112,0.14430378822887002
2.1437226449755005,0.011755736385452211,0.0262500663480163,0.08433472053247494,0.14375857317863672
2.199936613177743,0.011789344637680372,0.026013438034091063,0.084304860672897,0.14320312452117223
2.2562253507075565,0.011824333056535746,0.02577138865492712,0.08428354945969872,0.1426490978815993
2.3125874126930066,0.01186443240944842,0.025523749745278712,0.0842644263160739,0.14210780439845705
2.3690219138220767,0.011910915580921038,0.02527542625610435,0.08423179511847191,0.14158392066219017
2.4255274242863534,0.011963581193201327,0.025028583783393676,0.08420021449549922,0.14107657639972537
2.4821054819082935,0.012021246145239107,0.024781347610524973,0.08416356386194276,0.14058387404374773
2.5387507014438913,0.012077847956079761,0.024531519787370337,0.08413415650174158,0.1401039505825099
2.595463622688928,0.012133313461588793,0.0242781175431106,0.08410923814027725,0.13963772785174888
2.6522468852722527,0.012181342563058268,0.024023795142450677,0.08408844136355481,0.13918614855429767
2.7091033436637364,0.012224483149935919,0.0237856542005217,0.08407180961769094,0.13877605425236483
2.7660338386529153,0.012265410044292132,0.023584978738933948,0.08404590476699875,0.13837931229789735
