time,ekin_fluid_1,ekin_fluid_2
0.0,0.0,0.0
6.213876201259534e-6,8.64192054665712e-9,0.0
6.835263821385488e-5,8.652460763859485e-7,0.0
0.0006192876197717912,6.200281381780798e-5,0.0
0.0008481786177762619,6.965142293582901e-6,0.0
0.0009988346085240225,2.39289763507015e-6,0.0
0.0013044353847750571,8.430956876051462e-6,0.0
0.0016176008514171697,6.500975841901752e-6,0.0
0.0018663230665537712,3.1822226044828863e-6,0.0
0.0021510113324813996,3.4341990909055515e-6,0.0
0.0024591899943058977,3.2446431174390856e-6,0.0
0.00275288410140758,2.4292927715504074e-6,0.0
0.0030483556322687326,2.096553090692056e-6,0.0
0.003351802783295611,1.9030633664574458e-6,0.0
0.0036516802025313914,1.6214430200396986e-6,0.0
0.003948918910570596,1.4142252353034914e-6,0.0
0.0042481669063024665,1.2840919568490143e-6,0.0
0.004547332245158295,1.157916423671921e-6,0.0
0.0048450107148068425,1.0429086898499216e-6,0.0
0.005142306321034444,9.524704943971253e-7,0.0
0.005438747565332085,8.718088461020628e-7,0.0
0.005734782286567585,8.043950169905546e-7,0.0
0.006029320690514211,7.402931854354385e-7,0.0
0.006322544912470482,6.852645376594752e-7,0.0
0.006614530568158756,6.37081181372274e-7,0.0
0.0069049931683148715,5.932796770644161e-7,0.0
0.007194247796483739,5.555223962096656e-7,0.0
0.00748266679771376,5.230372468484946e-7,0.0
0.00777076151067802,4.953935648871083e-7,0.0
0.008058140525304796,4.690404095292364e-7,0.0
0.008344809185121229,4.451427581850755e-7,0.0
0.00863085027528167,4.235110477640133e-7,0.0
0.008916086484125651,4.031340706803672e-7,0.0
0.009200502521167825,3.843472449441794e-7,0.0
0.009484253350991704,3.6738318089093524e-7,0.0
0.009767655127265141,3.5233702772248735e-7,0.0
0.01005039394931443,3.37579763749851e-7,0.0
0.010332284938786107,3.234722370130354e-7,0.0
0.010613413370374346,3.104976251717105e-7,0.0
0.010894009586489454,2.9881570514167675e-7,0.0
0.011173986230640214,2.876659686020443e-7,0.0
0.011453440987617745,2.7737645418108115e-7,0.0
0.011732369975771689,2.6766659478396313e-7,0.0
0.0120108516404352,2.5863604590689593e-7,0.0
0.01228866974471279,2.4972441042390065e-7,0.0
0.012565949942368204,2.4151951368864953e-7,0.0
0.01284276935025212,2.338505784477932e-7,0.0
0.013118869667275107,2.261621318627236e-7,0.0
0.013394428522189271,2.1915345145755529e-7,0.0
0.013669544299676713,2.1261517425419848e-7,0.0
0.013944093738574845,2.062045412582202e-7,0.0
0.014217982066342158,1.9997418423288826e-7,0.0
