time,ekin_fluid_1
0.0,0.0
9.205522646945957e-6,6.094378741330528e-8
0.00010126074911640553,6.09067500682675e-6
0.0006595821366037872,0.0002140933268120727
0.0010400596627863996,7.94348918442513e-5
0.0013147324616725761,3.421221332329213e-5
0.0017560930231017543,8.154629221460143e-5
0.0022403830514456974,8.954520103901413e-5
0.002668442663002087,6.702116355381454e-5
0.00310433540209518,6.890934280770456e-5
0.0035438069482735105,6.95780614288822e-5
0.0039668179064853435,6.491143568170522e-5
0.004375606930758281,6.18655744573144e-5
0.004775108387609026,6.0356909850586626e-5
0.005160511909343722,5.7369931684090736e-5
0.005535572853942608,5.5424275638570836e-5
0.0058984696709732075,5.2824991032470885e-5
0.0062483665419325275,4.9986354639162186e-5
0.006583154663445095,4.657794735382132e-5
0.006897354235087356,4.178805191451712e-5
0.007232248106073025,4.787356970187051e-5
0.0075561916849904605,4.5073690810226006e-5
0.007868291792499324,4.245627644535363e-5
0.008185429657578232,4.4248031647303404e-5
0.00850117290140261,4.413548077876961e-5
0.008809759560626096,4.254923739884993e-5
0.009117165870353607,4.258849599352324e-5
0.009427149306352878,4.355472496292259e-5
0.009736631797709326,4.3652707688285545e-5
0.010049706744892035,4.490291946378607e-5
0.010366251724120087,4.609053329069207e-5
0.010685734898517048,4.715038630162648e-5
0.011007188983057796,4.795719992211414e-5
0.011329458742846922,4.845019643363558e-5
0.011652497137244403,4.894107197314568e-5
0.011975443918048372,4.917470361848088e-5
0.012297382231543991,4.9140671573863456e-5
0.012617471376304125,4.8858934502220485e-5
0.012935759706033612,4.858425870173814e-5
0.01325212893042519,4.825655817422703e-5
0.013566003032516902,4.774608185919039e-5
0.01387730523133271,4.7205487216261144e-5
0.014185859177486325,4.660339992643871e-5
0.014491606159009884,4.5976443835976836e-5
0.014794414252776628,4.530243894151845e-5
0.01509429999070722,4.4625309288946255e-5
0.015391531919678018,4.4018826079640176e-5
0.01568636179772892,4.347503778711645e-5
0.01598044503813404,4.339072731357486e-5
0.016273711372026618,4.32628210853059e-5
0.016565829832317303,4.30390203968962e-5
0.016857280371673448,4.295330595909672e-5
0.017148201632988597,4.290074931304218e-5
0.017438827652600075,4.29105254081901e-5
0.01772930384336044,4.295700531678773e-5
0.01801971195539126,4.3023635706757835e-5
0.01831011006620867,4.31057497056299e-5
0.018600423913004226,4.3163427482599056e-5
0.018890505726258347,4.3176862767543614e-5
0.019180176588376147,4.313774336872994e-5
0.019469237881837423,4.304269996035988e-5
0.019757802185078836,4.298008363885501e-5
0.02004582660674084,4.290055396576161e-5
0.020333251156797225,4.280130025661004e-5
0.020619999484018554,4.267824338669138e-5
0.02090602276171765,4.2537856547800836e-5
0.021191481431042755,4.243980770578668e-5
0.021476388408293995,4.233978258629558e-5
0.021760804025842313,4.225317296624992e-5
0.022044732269318867,4.2164871201694544e-5
0.022328126227466806,4.205970133307951e-5
0.022610951061173792,4.19414546442539e-5
0.022893466779390973,4.189493878900845e-5
0.02317584760622418,4.189315773645932e-5
0.023458046234018554,4.1872911970421626e-5
0.02374005322054373,4.184740947789841e-5
0.02402191010393386,4.183085182394657e-5
0.024303631410704973,4.181693522169032e-5
0.024585272395214873,4.181839514661599e-5
0.024866848908857313,4.1820965288908636e-5
0.025148277431097085,4.1796550672753766e-5
0.02542952356311175,4.176152636223091e-5
0.025710530101036258,4.170916232943237e-5
0.025991309075195677,4.165974565561029e-5
0.026271893657069917,4.1620534439278e-5
0.02655237763186953,4.160613382294524e-5
0.026832767504716203,4.159176941781993e-5
0.027113038727500163,4.156772201676875e-5
0.027393125435041483,4.152488252875951e-5
0.02767301207962869,4.1475672783689963e-5
0.027952721670409363,4.142964006649784e-5
0.02823225406180929,4.1379957352248534e-5
0.028511624294835815,4.133294892794292e-5
0.028790822127566125,4.12825413757479e-5
0.029069818076274276,4.122960451369764e-5
0.029348741588690375,4.121383121694003e-5
0.02962754878829996,4.118166693637306e-5
0.029906207707387847,4.1138318843310496e-5
0.03018467648095508,4.10828737309289e-5
0.03046294689435726,4.102886792596879e-5
0.03074102723071172,4.0976192245110336e-5
0.031018854211999316,4.0905743771736314e-5
0.0312964210413929,4.083334931026383e-5
0.03157369003413105,4.074676052922053e-5
0.03185061462817833,4.064510448368182e-5
0.03212716595855125,4.0534725739618536e-5
0.032403386145382726,4.043845699043113e-5
0.032679316072899096,4.035436010762196e-5
0.03295501087571316,4.0285878896836045e-5
0.0332305170495752,4.0230304310042605e-5
0.03350584112897063,4.017714625089264e-5
0.03378099258510363,4.012783814855111e-5
0.03405597432959317,4.007796678618376e-5
0.03433076682126553,4.0025799370807846e-5
0.03460536472367179,3.997450435774518e-5
0.034879747094854405,3.9920695427455006e-5
0.03515385654149937,3.985281284623247e-5
0.03542766843847695,3.9781351313331864e-5
0.03570116964668658,3.971690555965951e-5
0.03597436653146671,3.965723990103623e-5
0.03624724403671111,3.959344353050606e-5
0.03651979920890026,3.952991333514195e-5
0.0367920202505143,3.946641411672976e-5
0.037063906000546716,3.940512214868746e-5
0.03733547861812648,3.935400266873129e-5
0.03760676774847463,3.931151962945079e-5
0.03787777746268351,3.927121797499355e-5
0.038148539414428834,3.924012650987447e-5
0.03841907979629405,3.921535489413574e-5
0.03868937734721984,3.9183786762389274e-5
0.0389594291878071,3.915104340184734e-5
0.039229243336344526,3.912052687065564e-5
0.03949880576697845,3.9087036691940814e-5
0.03976815202031615,3.906288682176241e-5
0.040037293905039364,3.9040507842966395e-5
0.0403062303811896,3.901663053969352e-5
0.04057496186876669,3.8991859865146574e-5
0.04084351859320392,3.8974601050176504e-5
0.04111189888247465,3.895569952120192e-5
0.04138012449940214,3.894211684845532e-5
0.041648208576422145,3.893127357086731e-5
0.04191612372225558,3.891195959953583e-5
0.04218386328784674,3.889043608212842e-5
0.04245143639325669,3.887096373426318e-5
0.042718841722798,3.885290126392657e-5
0.04298611504324309,3.884470614847711e-5
0.0432532645602649,3.8837846206319115e-5
0.043520293429845945,3.883122383873344e-5
0.043787214062837594,3.882769124922985e-5
0.04405402255667577,3.8823311075970644e-5
0.04432071983750335,3.881869761766129e-5
0.04458729512363061,3.881053101214541e-5
0.044853745212704924,3.8801074999849176e-5
0.04512005503808221,3.878741738918126e-5
0.045386220736364086,3.8772587057617295e-5
0.04565224816370884,3.8759098752384064e-5
0.04591813440325512,3.8744379295064676e-5
0.04618387819012231,3.87298613235484e-5
0.04644947552998288,3.871395492305758e-5
0.04671492206230289,3.8697686467281774e-5
0.046980222473472985,3.8682450187522555e-5
0.04724538039620649,3.8667972931570196e-5
0.047510398147185495,3.865371467407102e-5
0.047775272966364975,3.8638281275892285e-5
0.048040004118855735,3.862231902991337e-5
0.0483045991491706,3.8608170477622335e-5
0.048569064722536276,3.8595542473365354e-5
0.04883340454570608,3.858469611448646e-5
0.04909762775585918,3.857615243472864e-5
0.04936174206200504,3.8569368661551065e-5
0.04962574912342221,3.8562666332308965e-5
0.049889653482244424,3.8556929423958994e-5
0.05015346205808546,3.855281156358782e-5
0.05041717646746016,3.854880336639659e-5
0.05068079558583998,3.854418965189781e-5
0.050944317612665296,3.853880844930126e-5
0.05120773972307849,3.853237713878223e-5
0.05147106271148813,3.852592923094582e-5
0.05173428773182493,3.851953349934234e-5
0.05199741233981823,3.8512172124018665e-5
0.05226043614160052,3.8504461839127525e-5
0.05252335781071269,3.8496119948662756e-5
0.05278617630061636,3.8487236580896115e-5
0.053048889879909716,3.8477616669312705e-5
0.05331149725341643,3.846739203622255e-5
0.05357399732547839,3.8456616955066095e-5
0.053836389894872445,3.8445545807583925e-5
0.05409867570506738,3.843444182805803e-5
0.05436085517291066,3.842320908843365e-5
0.05462292936918558,3.841204275945951e-5
0.05488490468935032,3.840245422569021e-5
0.05514678159196102,3.839272110586296e-5
0.05540856019476959,3.838281558482322e-5
0.05567024169386012,3.837305632848717e-5
